District_Origin,District_Destination,Visitor_AM,Visitor_MD,Visitor_PM,Visitor_NT
Statesville,Concord.Kannapolis,3.741457,3.365221,4.989478,4.048441
Statesville,NorthMeck.Mooresville,44.79364,69.217354,54.597008,81.717766
Statesville,Gastonia,0.841047,3.42465,2.537492,3.767741
Statesville,OutsideRoute4,6.744117,19.186161,11.93385,21.52412
Statesville,InsideRoute4,1.777883,3.32291,2.793838,5.251648
Statesville,RockHill,0.458957,1.219372,1.633238,1.707182
Statesville,Monroe,0.148023,0.216514,0.34996,0.373615
Statesville,SE_Outer,0.765426,1.407129,0.501203,1.870402
Statesville,Statesville,855.815125,3271.360352,1344.812988,1534.154175
Statesville,Salisbury,3.247705,21.230862,8.430366,9.2168
Statesville,Shelby,0.62651,0.114136,0.184483,0.196953
Salisbury,WestRural,72.42514,243.680237,174.866043,226.599487
Salisbury,SERural,0.095118,0.139129,0.224879,0.928443
Salisbury,NWRural,2.80384,2.591007,1.767135,4.552029
Salisbury,SWRural,0.324557,0.47473,1.588918,2.852318
Salisbury,NorthRural,77.474327,300.687866,169.744202,191.340942
Salisbury,Concord.Kannapolis,89.805885,293.356293,224.964508,235.490784
Salisbury,NorthMeck.Mooresville,21.709799,60.261349,27.303518,86.004448
Salisbury,Gastonia,4.505937,14.76973,11.100424,7.490995
Salisbury,OutsideRoute4,53.38686,96.943115,79.391937,92.272011
Salisbury,InsideRoute4,20.332558,25.17,27.026464,36.581169
Salisbury,RockHill,3.234928,11.651842,2.415295,9.291868
Salisbury,Monroe,0.654851,0.957852,1.548215,3.743715
Salisbury,SE_Outer,3.801315,4.876398,2.839092,5.186095
Salisbury,Statesville,4.865868,19.107967,13.486446,8.662679
Salisbury,Salisbury,899.138184,2967.844238,1477.332886,1680.307983
Salisbury,Shelby,0.082962,1.040838,0.196141,0.964815
Shelby,WestRural,0.417741,2.08296,0.987634,1.601157
Shelby,SERural,0.018798,0.027496,0.044442,0.047446
Shelby,NWRural,145.417908,391.72583,260.855164,418.828918
Shelby,SWRural,2.274139,4.546717,3.372879,6.087936
Shelby,NorthRural,0.733771,0.874195,0.440321,1.017647
Shelby,Concord.Kannapolis,0.587988,2.615304,1.390135,2.739861
Shelby,NorthMeck.Mooresville,0.486418,1.266407,1.701451,3.434412
Shelby,Gastonia,17.145464,41.35677,34.968956,80.378342
Shelby,OutsideRoute4,12.311422,20.537695,15.927024,29.198637
Shelby,InsideRoute4,2.799232,3.843109,3.93656,10.445926
Shelby,RockHill,0.3841,2.218601,0.908098,1.524678
Shelby,Monroe,0.080368,0.117554,0.190008,2.119329
Shelby,SE_Outer,0.228638,0.882582,0.540551,1.729624
Shelby,Statesville,0.044587,0.065218,0.105414,0.661316
Shelby,Salisbury,0.150949,0.220793,0.356877,0.381
Shelby,Shelby,452.054901,1653.121338,691.700806,713.670227
