ZONE,MODE,TRIPS
518,AUTO,1879.50684
518,CAR_SHARE,18.44573
518,WALK,243.89046
519,AUTO,6769.64241
519,WALK,226.09006
520,AUTO,3452.62413
520,WALK,2097.32566
521,AUTO,30719.98492
521,TRANSIT,99.77001
522,AUTO,36700.20912
522,TNC,267.2216
522,TRANSIT,1195.93134
522,WALK,4063.02298
523,AUTO,5484.94325
524,AUTO,39738.33039
524,WALK,364.30932
525,AUTO,10166.19092
525,BIKE,1195.93134
525,CAR_SHARE,6.1923
525,TRANSIT,1195.93134
525,WALK,2387.51208
526,AUTO,15365.69941
526,WALK,6506.39181
527,AUTO,241.2224
528,AUTO,746.59808
528,WALK,79.05105
529,AUTO,5086.37824
529,LONG_DIST_PASS,3854.26068
530,AUTO,868.06333
531,AUTO,1938.68285
531,WALK,2049.86848
532,AUTO,442.11992
533,AUTO,2481.52545
534,AUTO,9211.52622999999
534,SHUTTLE_VANPOOL,64.11816
534,WALK,128.23632
535,AUTO,3925.6255
535,WALK,608.37755
536,AUTO,61.98134
536,WALK,123.96268
537,AUTO,6112.35508
537,CAR_SHARE,6.1923
538,AUTO,1975.14317
538,TRANSIT,99.77001
539,AUTO,6692.29412
539,OTHER,27.6535
540,AUTO,101370.682
540,WALK,365.53626
541,AUTO,31202.38133
541,OTHER,5636.6313
541,SHUTTLE_VANPOOL,219.23651
541,WALK,668.1106
542,AUTO,11976.967
542,WALK,1010.85887
543,AUTO,1011.73441
543,TRANSIT,6.1588
544,AUTO,2276.24996
544,WALK,535.38416
545,AUTO,1767.11088
546,AUTO,3946.01996
546,WALK,1873.72362
547,AUTO,3528.86052
547,TRANSIT,6.1588
547,WALK,2927.86199
548,AUTO,2873.92541
548,WALK,446.26917
549,AUTO,611.1812
551,AUTO,350.69222
552,AUTO,4694.77825
552,BIKE,98.62847
552,WALK,982.41177
553,AUTO,3578.73724
553,WALK,1047.48009
555,AUTO,125.41534
556,AUTO,296.76097
556,WALK,508.32665
557,AUTO,32.12478
558,AUTO,18305.20563
559,AUTO,2270.62507
560,AUTO,56.27094
561,AUTO,1275.17618
562,AUTO,1454.79026
563,AUTO,54.13355
564,AUTO,7230.4219
565,AUTO,2082.74639
565,SCHOOL_BUS,1612.5146
565,TRANSIT,110.8938
566,AUTO,30.97112
567,AUTO,6279.63105
567,TRANSIT,106.38942
567,WALK,2087.79137
568,AUTO,4077.91163
568,WALK,499.55088
569,AUTO,46.07377
570,AUTO,417.83569
571,AUTO,3517.34312
571,TRANSIT,255.94952
571,WALK,1898.96187
572,AUTO,1989.09884
572,TRANSIT,9.3922
572,WALK,1644.16655
573,AUTO,1747.51297
574,AUTO,656.12202
574,BIKE,22.78001
574,WALK,72.32759
575,AUTO,1480.13913
576,AUTO,290.30993
577,AUTO,4132.85154
577,BIKE,660.96172
577,WALK,38.59125
578,AUTO,2921.66381
578,BIKE,239.25597
579,AUTO,2145.76885
579,WALK,76.04748
580,AUTO,1751.0113
580,BIKE,79.45124
580,CAR_SHARE,115.9253
580,SCHOOL_BUS,79.05105
580,TNC,4.65249
580,WALK,4644.32506
581,AUTO,98.27294
581,WALK,194.5263
582,AUTO,139.67794
582,BIKE,0.63384
582,WALK,2459.54918
583,AUTO,376.84841
583,WALK,9.27939
584,AUTO,361.76815
584,BIKE,159.50398
584,CAR_SHARE,18.44573
584,WALK,437.04244
585,AUTO,439.3848
585,TNC,8.72684
585,TRANSIT,191.28386
585,WALK,217.53051
586,AUTO,435.85217
586,TNC,4.65249
586,WALK,313.66068
588,AUTO,259.96442
588,BIKE,6.1923
588,WALK,111.69859
589,AUTO,79.18514
589,WALK,6.09454
590,AUTO,9062.00657
590,TRANSIT,774.97244
590,WALK,2205.2383
591,AUTO,656.59168
591,BIKE,79.45124
591,TRANSIT,71.35338
591,WALK,265.17275
592,AUTO,210.73023
593,AUTO,6.4812
594,AUTO,836.85213
594,BIKE,79.45124
594,TRANSIT,68.58716
595,AUTO,194.94545
596,AUTO,2095.24461
597,AUTO,2463.147
598,AUTO,8461.01725
598,BIKE,157.51853
598,SHUTTLE_VANPOOL,271.54308
598,TRANSIT,144.45078
598,WALK,879.91772
599,AUTO,932.87668
599,WALK,54.5432
600,AUTO,11486.18029
600,BIKE,367.77848
600,TNC,267.2216
600,TRANSIT,3.08709
600,WALK,5619.12475
601,AUTO,8717.28196
601,TNC,41.32177
601,WALK,1292.77882
602,AUTO,365.70182
602,CAR_SHARE,6.1923
