ZONE,COUNTY,MODE,TRIPS
276,Hillsborough County,WALK,40.40718
277,Hillsborough County,AUTO,281.22934
277,Hillsborough County,WALK,40.40718
278,Hillsborough County,AUTO,246.42945
279,Hillsborough County,AUTO,12239.30757
279,Hillsborough County,WALK,370.87578
280,Hillsborough County,AUTO,14370.29602
280,Hillsborough County,WALK,44.31812
281,Hillsborough County,AUTO,179.61396
282,Hillsborough County,AUTO,778.93364
284,Hillsborough County,AUTO,2481.90595
284,Hillsborough County,WALK,196.71064
286,Hillsborough County,AUTO,2596.37826
286,Hillsborough County,OTHER,150.75817
287,Hillsborough County,AUTO,1420.1967
288,Hillsborough County,AUTO,24280.39536
288,Hillsborough County,TRANSIT,683.64105
288,Hillsborough County,WALK,1764.66596
289,Hillsborough County,AUTO,4331.74102
289,Hillsborough County,TRANSIT,268.96274
289,Hillsborough County,WALK,1879.40083
290,Hillsborough County,AUTO,1228.53773
290,Hillsborough County,BIKE,18.28362
290,Hillsborough County,WALK,292.61966
291,Hillsborough County,AUTO,7038.77459
291,Hillsborough County,SHUTTLE_VANPOOL,39.62105
291,Hillsborough County,WALK,186.11748
292,Hillsborough County,AUTO,11612.01223
292,Hillsborough County,WALK,6.0968
293,Hillsborough County,AUTO,25545.52192
293,Hillsborough County,OTHER,48.95552
293,Hillsborough County,TNC,330.53394
293,Hillsborough County,WALK,2567.85503
294,Hillsborough County,AUTO,457.63238
295,Hillsborough County,AUTO,886.27688
295,Hillsborough County,WALK,15.47526
296,Hillsborough County,AUTO,1487.38783
296,Hillsborough County,TRANSIT,88.78122
297,Hillsborough County,AUTO,12488.16063
297,Hillsborough County,OTHER,29.46028
297,Hillsborough County,TNC,1096.92455
298,Hillsborough County,AUTO,3262.46527
299,Hillsborough County,AUTO,17530.71495
299,Hillsborough County,TRANSIT,24.6352
299,Hillsborough County,WALK,2671.79017
300,Hillsborough County,AUTO,10871.8894
300,Hillsborough County,BIKE,5.22079
300,Hillsborough County,OTHER,91.85093
300,Hillsborough County,WALK,287.52949
301,Hillsborough County,AUTO,2335.43442
301,Hillsborough County,OTHER,0.9967
301,Hillsborough County,WALK,2508.8454
302,Hillsborough County,AUTO,31842.46957
302,Hillsborough County,OTHER,2.42208
302,Hillsborough County,SHUTTLE_VANPOOL,1961.87355
302,Hillsborough County,TRANSIT,999.84867
302,Hillsborough County,WALK,39721.62877
303,Hillsborough County,AUTO,4407.74993
303,Hillsborough County,TRANSIT,1493.41458
304,Hillsborough County,AUTO,6726.39978
304,Hillsborough County,TRANSIT,537.92548
304,Hillsborough County,WALK,537.92548
305,Hillsborough County,AUTO,478.41027
305,Hillsborough County,TRANSIT,1010.50978
306,Hillsborough County,AUTO,5226.72559
307,Hillsborough County,AUTO,1999.21828
307,Hillsborough County,SHUTTLE_VANPOOL,72.09348
307,Hillsborough County,TRANSIT,508.01006
307,Hillsborough County,WALK,2765.11732
308,Hillsborough County,AUTO,3660.1539
308,Hillsborough County,BIKE,5.22079
308,Hillsborough County,SHUTTLE_VANPOOL,22.75849
308,Hillsborough County,WALK,938.17132
309,Hillsborough County,AUTO,11964.02377
309,Hillsborough County,SHUTTLE_VANPOOL,2.68674
309,Hillsborough County,TNC,56.16277
309,Hillsborough County,WALK,8782.56966
310,Hillsborough County,AUTO,6770.76987
310,Hillsborough County,TNC,569.08285
310,Hillsborough County,WALK,2859.99534
311,Hillsborough County,AUTO,8242.55499
311,Hillsborough County,BIKE,18.28362
311,Hillsborough County,WALK,4701.01264
312,Hillsborough County,AUTO,671.41837
312,Hillsborough County,WALK,168.6854
313,Hillsborough County,AUTO,24745.51739
313,Hillsborough County,BIKE,569.29628
313,Hillsborough County,BIKE_SHARE,43.77655
313,Hillsborough County,OTHER,152.51696
313,Hillsborough County,SHUTTLE_VANPOOL,296.50724
313,Hillsborough County,WALK,6707.98203
314,Hillsborough County,AUTO,19298.48602
314,Hillsborough County,BIKE,434.04612
314,Hillsborough County,BIKE_SHARE,9.14181
314,Hillsborough County,OTHER,94.27301
314,Hillsborough County,SHUTTLE_VANPOOL,257.6794
314,Hillsborough County,WALK,2204.03312
315,Hillsborough County,AUTO,9517.41039
315,Hillsborough County,BIKE,464.07829
315,Hillsborough County,SHUTTLE_VANPOOL,18.28361
315,Hillsborough County,WALK,439.88624
316,Hillsborough County,AUTO,2.42208
316,Hillsborough County,WALK,88.78122
317,Hillsborough County,AUTO,5426.00512
317,Hillsborough County,BIKE,119.23354
317,Hillsborough County,LONG_DIST_PASS,143.41523
317,Hillsborough County,TRANSIT,119.23354
317,Hillsborough County,WALK,7150.69333
318,Hillsborough County,AUTO,18103.43342
318,Hillsborough County,BIKE,863.47998
318,Hillsborough County,WALK,88.78122
319,Hillsborough County,AUTO,14742.34481
319,Hillsborough County,WALK,11452.33795
320,Hillsborough County,AUTO,24110.92711
320,Hillsborough County,WALK,20906.49295
321,Hillsborough County,AUTO,9209.13765
322,Hillsborough County,AUTO,874.88375
