ZONE,COUNTY,MODE,TRIPS
77,Hillsborough County,CAR_SHARE,0
77,Hillsborough County,LONG_DIST_PASS,0
77,Hillsborough County,MISSING,0
77,Hillsborough County,OTHER,0
77,Hillsborough County,SCHOOL_BUS,0
77,Hillsborough County,SHUTTLE_VANPOOL,0
77,Hillsborough County,TNC,0
77,Hillsborough County,TRANSIT,0
77,Hillsborough County,WALK,0
78,Hillsborough County,BIKE,0
78,Hillsborough County,BIKE_SHARE,0
78,Hillsborough County,CAR,178.15843
78,Hillsborough County,CAR_SHARE,0
78,Hillsborough County,LONG_DIST_PASS,0
78,Hillsborough County,MISSING,0
78,Hillsborough County,OTHER,0
78,Hillsborough County,SCHOOL_BUS,0
78,Hillsborough County,SHUTTLE_VANPOOL,22.96907
78,Hillsborough County,TNC,0
78,Hillsborough County,TRANSIT,0
78,Hillsborough County,WALK,0
89,Hillsborough County,BIKE,0
89,Hillsborough County,BIKE_SHARE,0
89,Hillsborough County,CAR,0
89,Hillsborough County,CAR_SHARE,0
89,Hillsborough County,LONG_DIST_PASS,0
89,Hillsborough County,MISSING,0
89,Hillsborough County,OTHER,0
89,Hillsborough County,SCHOOL_BUS,0
89,Hillsborough County,SHUTTLE_VANPOOL,0
89,Hillsborough County,TNC,0
89,Hillsborough County,TRANSIT,0
89,Hillsborough County,WALK,0
90,Hillsborough County,BIKE,0
90,Hillsborough County,BIKE_SHARE,0
90,Hillsborough County,CAR,0
90,Hillsborough County,CAR_SHARE,0
90,Hillsborough County,LONG_DIST_PASS,0
90,Hillsborough County,MISSING,0
90,Hillsborough County,OTHER,0
90,Hillsborough County,SCHOOL_BUS,0
90,Hillsborough County,SHUTTLE_VANPOOL,0
90,Hillsborough County,TNC,0
90,Hillsborough County,TRANSIT,0
90,Hillsborough County,WALK,0
93,Hillsborough County,BIKE,0
93,Hillsborough County,BIKE_SHARE,0
93,Hillsborough County,CAR,255.97191
93,Hillsborough County,CAR_SHARE,0
93,Hillsborough County,LONG_DIST_PASS,0
93,Hillsborough County,MISSING,0
93,Hillsborough County,OTHER,0
93,Hillsborough County,SCHOOL_BUS,0
93,Hillsborough County,SHUTTLE_VANPOOL,0
93,Hillsborough County,TNC,0
93,Hillsborough County,TRANSIT,0
93,Hillsborough County,WALK,0
97,Hillsborough County,BIKE,0
97,Hillsborough County,BIKE_SHARE,0
97,Hillsborough County,CAR,396.97716
97,Hillsborough County,CAR_SHARE,0
97,Hillsborough County,LONG_DIST_PASS,0
97,Hillsborough County,MISSING,0
97,Hillsborough County,OTHER,0
97,Hillsborough County,SCHOOL_BUS,0
97,Hillsborough County,SHUTTLE_VANPOOL,0
97,Hillsborough County,TNC,0
