FROM,TO,TRIPS
Northeast Hillsborough,West Brandon S Falkenburg Corrido,15349.22562
East Town,West Brandon S Falkenburg Corrido,3083.79548
Southeast Hillsborough,West Brandon S Falkenburg Corrido,59646.11368
Northwest Hillsborough,West Brandon S Falkenburg Corrido,903.20578
CZ1,West Brandon S Falkenburg Corrido,9230.70462
CZ2,West Brandon S Falkenburg Corrido,4140.58404
Pinellas,West Brandon S Falkenburg Corrido,1302.83121
West Brandon S Falkenburg Corrido,Port of Tampa / 50th St Corridor,230.36997
CZ1,Port of Tampa / 50th St Corridor,1099.63948
Manatee Spur,Port of Tampa / 50th St Corridor,153.14916
Westshore / Rocky Point,Port of Tampa / 50th St Corridor,1444.28998
Southeast Hillsborough,Port of Tampa / 50th St Corridor,0
CZ3,Port of Tampa / 50th St Corridor,120.92276
Southwest Hillsborough,Southeast Hillsborough,6027.31593
Downtown,Southeast Hillsborough,14600.32483
Tampa Central,Southeast Hillsborough,14840.41683
East Town,Southeast Hillsborough,15542.44746
West Brandon S Falkenburg Corrido,Southeast Hillsborough,59421.24823
Southeast Hillsborough,Southeast Hillsborough,415153.00153
Westshore / Rocky Point,West Brandon S Falkenburg Corrido,2816.44346
Port of Tampa / 50th St Corridor,West Brandon S Falkenburg Corrido,2217.61192
External,West Brandon S Falkenburg Corrido,617.06736
Downtown,West Brandon S Falkenburg Corrido,4746.40125
Manatee Spur,West Brandon S Falkenburg Corrido,115.85562
Northeast Hillsborough,Southeast Hillsborough,43450.18626
CZ1,Southeast Hillsborough,23228.90779
CZ2,Southeast Hillsborough,21243.15049
CZ4,Southeast Hillsborough,11398.48471
Hidden River / Telecom Park,Southeast Hillsborough,0
Pinellas,Southeast Hillsborough,1170.12874
Northwest Hillsborough,Southeast Hillsborough,1227.51433
Tampa Intl Airport / Anderson Rd,Southeast Hillsborough,3815.26243
Westshore / Rocky Point,Southeast Hillsborough,8001.28565
External,Southeast Hillsborough,4700.53564
USF / Hospitals / Busch Gardens,Southeast Hillsborough,5934.28296
CZ3,Southeast Hillsborough,38589.83163
Hernando & Citrus,West Brandon S Falkenburg Corrido,33.24174
Hidden River / Telecom Park,West Brandon S Falkenburg Corrido,180.49959
CZ3,West Brandon S Falkenburg Corrido,505.76723
MacDill AFB / Port Tampa,Southeast Hillsborough,7301.72632
Harney Corridor / Tampa Ex Airpor,Southeast Hillsborough,345.51995
Plant City Area,Southeast Hillsborough,483.41962
Port of Tampa / 50th St Corridor,Southeast Hillsborough,3854.26068
East Town,Port of Tampa / 50th St Corridor,56.30445
Tampa Intl Airport / Anderson Rd,West Brandon S Falkenburg Corrido,0
Pasco,Southeast Hillsborough,6007.08958
Hernando & Citrus,Southeast Hillsborough,149.86318
Citrus Park,Southeast Hillsborough,213.74819
CZ4,Port of Tampa / 50th St Corridor,0
CZ2,Port of Tampa / 50th St Corridor,0
MacDill AFB / Port Tampa,CZ1,1.17856
Port of Tampa / 50th St Corridor,CZ1,122.10132
Southeast Hillsborough,CZ1,28556.34729
CZ1,CZ1,63734.21048
External,CZ1,6297.5943
Northeast Hillsborough,CZ1,11225.58647
Tampa Intl Airport / Anderson Rd,CZ1,1326.47137
West Brandon S Falkenburg Corrido,CZ1,13418.9741
CZ3,CZ1,5592.84066
USF / Hospitals / Busch Gardens,CZ1,98.1417
Tampa Central,CZ1,3027.30023
Southwest Hillsborough,CZ1,1373.34901
CZ2,CZ1,3584.48538
Pinellas,CZ1,1030.20056
Pasco,CZ1,149.2189
Westshore / Rocky Point,CZ1,1031.02815
CZ4,CZ1,25040.51306
Tampa Central,CZ2,1037.69051
Harney Corridor / Tampa Ex Airpor,CZ2,47.16231
Westshore / Rocky Point,CZ2,183.88486
Southeast Hillsborough,CZ2,21274.7963
CZ1,CZ2,6296.46028
CZ2,CZ2,79613.37026
CZ4,CZ2,426.89225
Pinellas,CZ2,99.93077
External,CZ2,145.31217
USF / Hospitals / Busch Gardens,CZ2,98.54778
Downtown,CZ2,2594.28205
Northeast Hillsborough,CZ2,267.57981
West Brandon S Falkenburg Corrido,CZ2,932.68097
MacDill AFB / Port Tampa,CZ2,2420.40171
Downtown,CZ1,968.3348
Northwest Hillsborough,CZ1,2428.72512
Hidden River / Telecom Park,CZ1,0
Harney Corridor / Tampa Ex Airpor,CZ1,2.89899
East Town,CZ1,395.11747
Hidden River / Telecom Park,CZ2,658.10568
Port of Tampa / 50th St Corridor,CZ2,0
Northwest Hillsborough,CZ2,712.92874
East Town,CZ2,2270.43586
CZ3,CZ2,6.09454
Hernando & Citrus,CZ2,0
Southwest Hillsborough,CZ2,111.58628
Tampa Intl Airport / Anderson Rd,CZ2,87.67433
Hernando & Citrus,CZ1,0
Tampa Central,CZ3,1472.96413
CZ1,CZ3,1007.87109
CZ2,CZ3,43.39697
CZ3,CZ3,81692.84742
CZ4,CZ3,18350.81906
Manatee Spur,CZ1,229.72374
External,CZ3,879.82934
Westshore / Rocky Point,CZ3,158.10216
Tampa Intl Airport / Anderson Rd,CZ3,0
East Town,CZ3,22.72942
Downtown,CZ3,748.19096
Northeast Hillsborough,CZ3,116.01779
West Brandon S Falkenburg Corrido,CZ3,2795.12371
Southeast Hillsborough,CZ3,38596.02677
Pinellas,CZ3,3563.93552
Manatee Spur,CZ3,175.15969
Pasco,CZ3,0
West Brandon S Falkenburg Corrido,CZ4,3182.73819
CZ1,CZ4,25979.22086
CZ4,CZ4,160337.14805
CZ2,CZ4,520.66313
External,CZ4,7830.91304
Tampa Central,CZ4,5496.23119
USF / Hospitals / Busch Gardens,CZ4,1801.81923
Westshore / Rocky Point,CZ4,1381.24026
Southwest Hillsborough,CZ4,326.61305
Northeast Hillsborough,CZ4,4470.03389
Southeast Hillsborough,CZ4,13552.16011
CZ3,CZ4,12089.67823
Pinellas,CZ4,1703.76159
Hernando & Citrus,CZ4,0
Tampa Intl Airport / Anderson Rd,CZ4,1368.09736
Harney Corridor / Tampa Ex Airpor,CZ4,98.56549
Hidden River / Telecom Park,CZ4,458.85084
MacDill AFB / Port Tampa,CZ4,0
Downtown,CZ4,249.93529
East Town,CZ4,0
Pasco,CZ4,0
USF / Hospitals / Busch Gardens,CZ3,53.31788
MacDill AFB / Port Tampa,CZ3,98.72257
Manatee Spur,CZ4,0
Northwest Hillsborough,CZ4,907.33162
Pasco,CZ2,70.8975
Pinellas,Pinellas,3538763.35511998
Pasco,Pinellas,105943.22158
West Brandon S Falkenburg Corrido,Pinellas,1414.40274
External,Pinellas,19223.01157
Northwest Hillsborough,Pinellas,79361.3364
Tampa Central,Pinellas,36203.15812
Westshore / Rocky Point,Pinellas,15674.8446
Southwest Hillsborough,Pinellas,17067.31485
Hernando & Citrus,Pinellas,3250.85941
Tampa Intl Airport / Anderson Rd,Pinellas,31972.19233
Downtown,Pinellas,14029.37861
USF / Hospitals / Busch Gardens,Pinellas,9534.38642
Citrus Park,Pinellas,3011.53409
Northeast Hillsborough,Pinellas,4973.00561
East Town,Pinellas,618.57281
Port of Tampa / 50th St Corridor,Pinellas,116.94862
CZ4,Pinellas,1444.54284
Hidden River / Telecom Park,Pinellas,0
CZ3,Pinellas,4065.81117
CZ2,Pinellas,235.14595
Harney Corridor / Tampa Ex Airpor,Pinellas,794.34971
Southeast Hillsborough,Pinellas,958.41777
CZ1,Pinellas,1136.37987
Manatee Spur,Pinellas,0
MacDill AFB / Port Tampa,Pinellas,370.19835
Westshore / Rocky Point,Pasco,12170.74757
Pasco,Pasco,1581165.54056999
Hernando & Citrus,Pasco,45057.74694
External,Pasco,3792.45779
Pinellas,Pasco,99415.3737
Northwest Hillsborough,Pasco,69465.33481
Tampa Intl Airport / Anderson Rd,Pasco,6502.99956
Downtown,Pasco,12010.83777
Citrus Park,Pasco,537.46058
Tampa Central,Pasco,25817.51375
USF / Hospitals / Busch Gardens,Pasco,5100.89534
Port of Tampa / 50th St Corridor,Pasco,2039.60766
West Brandon S Falkenburg Corrido,Pasco,1234.06846
Northeast Hillsborough,Pasco,16627.86275
Southwest Hillsborough,Pasco,1319.32339
East Town,Pasco,1841.5942
MacDill AFB / Port Tampa,Pasco,2408.18823
Southeast Hillsborough,Pasco,2060.32187
CZ3,Pasco,0
CZ1,Pasco,269.57437
CZ4,Pasco,0
Harney Corridor / Tampa Ex Airpor,Pasco,1183.26829
Hidden River / Telecom Park,Pasco,2545.41018
Plant City Area,Pasco,2422.21709
CZ2,Pasco,41.65393
Pinellas,Hernando & Citrus,2204.36483
Pasco,Hernando & Citrus,44464.98914
Hernando & Citrus,Hernando & Citrus,887635.240220001
Downtown,Hernando & Citrus,196.75523
External,Hernando & Citrus,13271.21459
Tampa Intl Airport / Anderson Rd,Hernando & Citrus,382.9886
Tampa Central,Hernando & Citrus,447.18813
Northwest Hillsborough,Hernando & Citrus,5958.23769
MacDill AFB / Port Tampa,Hernando & Citrus,60.07968
Westshore / Rocky Point,Hernando & Citrus,749.36754
West Brandon S Falkenburg Corrido,Hernando & Citrus,0
CZ1,Hernando & Citrus,0
Southwest Hillsborough,Hernando & Citrus,23.81993
CZ4,Hernando & Citrus,0
Citrus Park,Hernando & Citrus,0
USF / Hospitals / Busch Gardens,Hernando & Citrus,3531.02327
Northeast Hillsborough,Hernando & Citrus,0
Southeast Hillsborough,Hernando & Citrus,131.59106
CZ2,Hernando & Citrus,831.7589
Pinellas,Manatee Spur,546.63962
External,Manatee Spur,0
USF / Hospitals / Busch Gardens,Manatee Spur,0
Manatee Spur,Manatee Spur,306.29832
Port of Tampa / 50th St Corridor,Manatee Spur,153.14916
CZ1,Manatee Spur,229.72374
CZ3,Manatee Spur,150.22248
Pasco,Manatee Spur,0
Northeast Hillsborough,Manatee Spur,139.35223
